Id_PG1,Id_PG2,JaroW_Dictance
Accion Popular,Accion Popular,1.0
Accion Popular,Partido Morado,0.575843
Accion Popular,Avanza Pais,0.724887
Accion Popular,Alianza para el Progreso,0.55005
Accion Popular,APRA,0.743515
Accion Popular,Democracia Directa,0.651307
Accion Popular,Frente Amplio,0.640843
Accion Popular,Frente Esperanza,0.739887
Accion Popular,Fuerza Popular,0.620264
Accion Popular,Juntos por el Peru,0.625261
Accion Popular,Partido Nacionalista,0.684624
Accion Popular,Peru Libre,0.649489
Accion Popular,Patria Segura,0.567246
Accion Popular,Podemos Peru,0.624812
Accion Popular,PPC,0.582629
Accion Popular,Renovavion Popular,0.755441
Accion Popular,Somos Peru,0.572165
Accion Popular,Union por el Peru,0.789765
Accion Popular,Victoria Nacional,0.572602
Partido Morado,Accion Popular,0.575843
Partido Morado,Partido Morado,1.0
Partido Morado,Avanza Pais,0.552457
Partido Morado,Alianza para el Progreso,0.712314
Partido Morado,APRA,0.603758
Partido Morado,Democracia Directa,0.664654
Partido Morado,Frente Amplio,0.677673
Partido Morado,Frente Esperanza,0.605427
Partido Morado,Fuerza Popular,0.709564
Partido Morado,Juntos por el Peru,0.700391
Partido Morado,Partido Nacionalista,0.635991
Partido Morado,Peru Libre,0.667741
Partido Morado,Patria Segura,0.799592
Partido Morado,Podemos Peru,0.701584
Partido Morado,PPC,0.810796
Partido Morado,Renovavion Popular,0.558641
Partido Morado,Somos Peru,0.823357
Partido Morado,Union por el Peru,0.588104
Partido Morado,Victoria Nacional,0.824263
Avanza Pais,Accion Popular,0.724694
Avanza Pais,Partido Morado,0.552695
Avanza Pais,Avanza Pais,1.0
Avanza Pais,Alianza para el Progreso,0.535595
Avanza Pais,APRA,0.66056
Avanza Pais,Democracia Directa,0.601018
Avanza Pais,Frente Amplio,0.594782
Avanza Pais,Frente Esperanza,0.658458
Avanza Pais,Fuerza Popular,0.581051
Avanza Pais,Juntos por el Peru,0.5845
Avanza Pais,Partido Nacionalista,0.623063
Avanza Pais,Peru Libre,0.600098
Avanza Pais,Patria Segura,0.546796
Avanza Pais,Podemos Peru,0.58402
Avanza Pais,PPC,0.556861
Avanza Pais,Renovavion Popular,0.800662
Avanza Pais,Somos Peru,0.550137
Avanza Pais,Union por el Peru,0.691455
Avanza Pais,Victoria Nacional,0.550086
Alianza para el Progreso,Accion Popular,0.549991
Alianza para el Progreso,Partido Morado,0.712359
Alianza para el Progreso,Avanza Pais,0.536047
Alianza para el Progreso,Alianza para el Progreso,1.0
Alianza para el Progreso,APRA,0.566805
Alianza para el Progreso,Democracia Directa,0.603602
Alianza para el Progreso,Frente Amplio,0.611852
Alianza para el Progreso,Frente Esperanza,0.567705
Alianza para el Progreso,Fuerza Popular,0.631244
Alianza para el Progreso,Juntos por el Peru,0.625588
Alianza para el Progreso,Partido Nacionalista,0.586673
Alianza para el Progreso,Peru Libre,0.605776
Alianza para el Progreso,Patria Segura,0.74287
Alianza para el Progreso,Podemos Peru,0.626597
Alianza para el Progreso,PPC,0.693535
Alianza para el Progreso,Renovavion Popular,0.539594
Alianza para el Progreso,Somos Peru,0.72472
Alianza para el Progreso,Union por el Peru,0.557433
Alianza para el Progreso,Victoria Nacional,0.723749
APRA,Accion Popular,0.74377
APRA,Partido Morado,0.604172
APRA,Avanza Pais,0.660323
APRA,Alianza para el Progreso,0.566984
APRA,APRA,1.0
APRA,Democracia Directa,0.711576
APRA,Frente Amplio,0.696604
APRA,Frente Esperanza,0.831361
APRA,Fuerza Popular,0.666722
APRA,Juntos por el Peru,0.674187
APRA,Partido Nacionalista,0.758998
APRA,Peru Libre,0.709032
APRA,Patria Segura,0.591676
APRA,Podemos Peru,0.673281
APRA,PPC,0.613246
APRA,Renovavion Popular,0.682064
APRA,Somos Peru,0.598484
APRA,Union por el Peru,0.78636
APRA,Victoria Nacional,0.59887
Democracia Directa,Accion Popular,0.651511
Democracia Directa,Partido Morado,0.66428
Democracia Directa,Avanza Pais,0.600973
Democracia Directa,Alianza para el Progreso,0.603757
Democracia Directa,APRA,0.711821
Democracia Directa,Democracia Directa,1.0
Democracia Directa,Frente Amplio,0.815454
Democracia Directa,Frente Esperanza,0.714469
Democracia Directa,Fuerza Popular,0.768365
Democracia Directa,Juntos por el Peru,0.78091
Democracia Directa,Partido Nacionalista,0.778888
Democracia Directa,Peru Libre,0.822163
Democracia Directa,Patria Segura,0.64442
Democracia Directa,Podemos Peru,0.778853
Democracia Directa,PPC,0.680332
Democracia Directa,Renovavion Popular,0.614267
Democracia Directa,Somos Peru,0.655445
Democracia Directa,Union por el Peru,0.677059
Democracia Directa,Victoria Nacional,0.656114
Frente Amplio,Accion Popular,0.641186
Frente Amplio,Partido Morado,0.677836
Frente Amplio,Avanza Pais,0.594295
Frente Amplio,Alianza para el Progreso,0.611792
Frente Amplio,APRA,0.696645
Frente Amplio,Democracia Directa,0.816016
Frente Amplio,Frente Amplio,1.0
Frente Amplio,Frente Esperanza,0.699283
Frente Amplio,Fuerza Popular,0.789953
Frente Amplio,Juntos por el Peru,0.803288
Frente Amplio,Partido Nacionalista,0.759606
Frente Amplio,Peru Libre,0.819037
Frente Amplio,Patria Segura,0.655826
Frente Amplio,Podemos Peru,0.8016
Frente Amplio,PPC,0.695
Frente Amplio,Renovavion Popular,0.606533
Frente Amplio,Somos Peru,0.668095
Frente Amplio,Union por el Peru,0.66536
Frente Amplio,Victoria Nacional,0.668787
Frente Esperanza,Accion Popular,0.739909
Frente Esperanza,Partido Morado,0.605327
Frente Esperanza,Avanza Pais,0.658357
Frente Esperanza,Alianza para el Progreso,0.568002
Frente Esperanza,APRA,0.831434
Frente Esperanza,Democracia Directa,0.7146
Frente Esperanza,Frente Amplio,0.699238
Frente Esperanza,Frente Esperanza,1.0
Frente Esperanza,Fuerza Popular,0.669266
Frente Esperanza,Juntos por el Peru,0.67678
Frente Esperanza,Partido Nacionalista,0.762594
Frente Esperanza,Peru Libre,0.711449
