PARTIDO,FIN DE LA POBREZA,HAMBRE CERO,SALUD Y BIENESTAR,EDUCACION DE CALIDAD,IGUALDAD DE GENERO,AGUA LIMPIA Y SANEAMIENTO,ENERGIA ASEQUIBLE Y NO CONTAMINANTE,TRABAJO DECENTE Y CRECIMIENTO ECONOMICO,INDUSTRIA INNOVACION E INFREESTRUCTURA,REDUCCION DE LAS DESIGUALDADES,CIUDADES Y COMUNIDADES SOSTENIBLES,PRODUCCION Y CONSUMO RESPONSABLES,ACCION POR EL CLIMA,VIDA SUBMARINA,VIDA DE ECOSISTEMAS TERRESTRES,PAZ JUSTICIA E INSTITUCIONES SOLIDAS,ALIANZAS PARA LOGRAR LOS OBJETIVOS
Accion Popular,0.555559,0.554199,0.553368,0.555608,0.549025,0.547367,0.525703,0.565293,0.55799,0.552846,0.601456,0.580084,0.539659,0.533725,0.565107,0.616417,0.559488
Partido Morado,0.519155,0.51864,0.519289,0.518879,0.517777,0.51853,0.51431,0.522165,0.520495,0.518212,0.528129,0.52388,0.516286,0.514481,0.521088,0.531548,0.519432
Avanza Pais,0.57953,0.577751,0.576366,0.577912,0.570799,0.565314,0.532902,0.594903,0.583255,0.575454,0.651993,0.616676,0.556407,0.544366,0.594914,0.673844,0.58694
Alianza para el Progreso,0.515593,0.516515,0.516885,0.515212,0.51561,0.514345,0.513745,0.51706,0.516861,0.516594,0.521085,0.518751,0.51499,0.513978,0.516947,0.5234,0.516501
APRA,0.542002,0.540479,0.540778,0.540395,0.537585,0.53421,0.520654,0.548867,0.543897,0.539599,0.573924,0.559385,0.530776,0.526028,0.548046,0.58449,0.544538
Democracia Directa,0.530334,0.528141,0.528825,0.528685,0.527176,0.526086,0.517471,0.532894,0.531593,0.528706,0.550331,0.53918,0.524426,0.520569,0.53359,0.555673,0.530502
Frente Amplio,0.528551,0.527524,0.526756,0.526993,0.525213,0.523541,0.51443,0.53152,0.528735,0.527114,0.545651,0.537251,0.522602,0.518781,0.53083,0.552034,0.529612
Frente Esperanza,0.542343,0.540257,0.539541,0.540447,0.537679,0.534673,0.521726,0.547905,0.541909,0.539226,0.572902,0.557793,0.530555,0.526241,0.547175,0.584065,0.544031
Fuerza Popular,0.52534,0.524808,0.524703,0.525313,0.523504,0.523189,0.516332,0.527491,0.524811,0.524665,0.540765,0.533146,0.520259,0.519048,0.527942,0.5456,0.527611
Juntos por el Peru,0.526124,0.525115,0.525678,0.525628,0.523453,0.522863,0.514821,0.529263,0.527332,0.525108,0.542402,0.532916,0.5209,0.518414,0.529129,0.547104,0.527666
Partido Nacionalista,0.534201,0.534092,0.533886,0.535103,0.530895,0.529676,0.51852,0.539114,0.535074,0.532008,0.557706,0.545661,0.527615,0.522003,0.538434,0.565875,0.537686
Peru Libre,0.529064,0.528633,0.528136,0.528446,0.526526,0.525548,0.51861,0.533179,0.530817,0.528244,0.548978,0.539226,0.52377,0.521769,0.533519,0.555803,0.530676
Patria Segura,0.517499,0.517967,0.517727,0.517692,0.516887,0.516651,0.513252,0.519684,0.518503,0.516838,0.525865,0.521708,0.516183,0.516991,0.5196,0.528689,0.519144
Podemos Peru,0.526111,0.524831,0.525337,0.526292,0.524032,0.522701,0.517215,0.528626,0.527053,0.52552,0.542479,0.533757,0.519832,0.518355,0.529977,0.546708,0.526893
PPC,0.520764,0.519176,0.520605,0.519702,0.517882,0.518482,0.515113,0.522899,0.520919,0.519403,0.530608,0.525973,0.517127,0.516466,0.522174,0.533267,0.521559
Renovavion Popular,0.570659,0.568856,0.567464,0.570287,0.562173,0.558433,0.531215,0.583741,0.575003,0.565843,0.635031,0.603605,0.550165,0.540609,0.583761,0.653788,0.57887
Somos Peru,0.518426,0.518653,0.518348,0.518995,0.516711,0.517784,0.513456,0.521593,0.519651,0.517853,0.527275,0.523168,0.515539,0.51511,0.52043,0.530045,0.519119
Union por el Peru,0.548106,0.547356,0.546783,0.546595,0.542745,0.539792,0.521809,0.557156,0.550459,0.545063,0.587331,0.568274,0.534457,0.529441,0.55616,0.599658,0.551604
Victoria Nacional,0.518617,0.519468,0.519002,0.518634,0.51742,0.518152,0.513291,0.520463,0.519993,0.518113,0.527866,0.523743,0.516465,0.515455,0.520961,0.530069,0.518855
